half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,8.0,7.0,9.0,1349,11332,7243,4,12,11,1349
1.0,8.5,7.5,9.5,6082,11464,2217,10,12,6,2217
1.0,20.0,19.0,21.0,1330,11372,7221,5,12,11,1330
1.0,20.5,19.5,21.5,6054,11504,2201,10,12,6,2201
1.5,7.5,6.0,9.0,1349,11332,17379,4,12,20,1349
1.5,8.0,6.5,9.5,6082,11494,12318,10,12,16,6082
1.5,8.5,7.0,10.0,9491,11494,7243,10,12,11,7243
1.5,9.0,7.5,10.5,9619,11464,2217,10,12,6,2217
1.5,19.5,18.0,21.0,1330,11372,17421,5,12,20,1330
1.5,20.0,18.5,21.5,6054,11536,12336,10,12,16,6054
1.5,20.5,19.0,22.0,9442,11536,7221,10,12,11,7221
1.5,21.0,19.5,22.5,9566,11504,2201,10,12,6,2201
