event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2019 SH SSW_Swarm-A,SSW前,28566,16.62709582342584,5.481594294947694,17.47802888585826,4.544618890886898,18.417194236506276,440.3298924702001,437.3587059017012,447.1143368216064,0.49716532361041665,0.40742317796648875,0.6514901214900746,5.0,67.8
2019 SH SSW_Swarm-A,SSW中,28318,15.423896780316795,4.215745287200649,16.208987357079856,3.2807313907287536,17.139911122680882,440.30080461684753,437.33412883999455,446.9490636803694,0.5212995447013938,0.4364728808707961,0.6076889393398587,8.0,69.4
2019 SH SSW_Swarm-A,SSW後,7599,15.037202986085227,3.411842214286474,15.406821403870573,2.946352695371349,15.857233567076406,440.3927214104254,437.39627308545306,446.98690603765425,0.5060000236942863,0.42412520169414714,0.5775722001527145,3.0,68.2
