event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2018 NH SSW_Swarm-A,SSW前,44108,10.187213194309916,8.884678202919941,20.884487728534367,7.536902349075092,22.26237228329658,443.7590495705376,440.79129226481166,450.2421017409088,0.708260191612641,0.6228949868646154,0.8077078824374612,4.0,67.7
2018 NH SSW_Swarm-A,SSW中,30707,18.172050480882813,7.12371662824537,19.12486525008734,6.11748953628253,20.12705673892994,443.52393719141094,440.5623961743014,450.29724605808593,0.6832582636595274,0.5986332845913913,0.786932803699971,7.0,68.7
2018 NH SSW_Swarm-A,SSW後,38356,6.695224322606449,5.557529709611513,17.55832586146232,4.419844068431885,18.708912230338683,443.5284751867256,440.5541168439488,450.10462804975714,0.702830550420784,0.6033754430994631,0.8228072722739229,6.0,66.8
