event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2018 NH SSW_Swarm-B,SSW前,43953,13.911940549822852,3.051175769784493,15.047061371453243,1.8042305635207114,16.316805525736047,508.5110483970763,505.4680161055857,514.1855982219894,0.6464193369026929,0.533909389279631,0.7802649644456866,4.0,67.7
2018 NH SSW_Swarm-B,SSW中,30566,2.233167916453165,1.3682469176635235,13.368977487321054,0.44893136365380926,14.292254642029494,508.2954447301966,505.39968747123424,514.4605644227915,0.6707077904539782,0.5518194711396993,0.829452196157351,7.0,68.7
2018 NH SSW_Swarm-B,SSW後,38344,12.001188253384889,11.17673517560846,23.1743793085496,0.0002761180750283643,23.999995500324864,507.90340856999484,505.0317312735584,514.8543350455426,0.7145047141354683,0.5726452941716236,0.9071971563735404,6.0,66.9
