event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2019 SH SSW_Swarm-B,SSW前,26921,13.591141731285202,2.1593744668967947,14.193659355789915,1.3002269476276105,15.012293370771776,507.65772550087513,504.4729084868133,513.7179384774994,0.47401099407512215,0.35768157581547655,0.6305489892949449,5.0,67.8
2019 SH SSW_Swarm-B,SSW中,28392,12.258346871741995,0.9605602912199922,12.95971989151063,0.10115461747105314,13.804974762470081,507.2738459354588,504.34653096516433,513.495422027662,0.4972132531218457,0.40241622002567695,0.6243248417555639,8.0,69.4
2019 SH SSW_Swarm-B,SSW後,7621,12.005760555659313,0.23954157210161497,12.239236481841873,3.0127825851877787e-05,23.999939778587432,507.063140321373,504.1744399401434,513.7221465747161,0.47422864119022395,0.3798436306986414,0.6097816221822753,3.0,68.2
