event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2019 SH SSW_Swarm-C,SSW前,28549,16.73804802358759,5.578522269980869,17.574579992481915,4.644139035825756,18.500150384839163,440.3337840687921,437.3633162199873,447.1298608262409,0.49036417776617647,0.40549717134775287,0.6428627749020404,5.0,67.8
2019 SH SSW_Swarm-C,SSW中,28292,15.52525507206704,4.313690600032494,16.306004816885316,3.379648200058927,17.222822366078738,440.30107467443315,437.3339293982303,446.98481494707613,0.5150271725789011,0.4298057547332183,0.5985958794201014,8.0,69.4
2019 SH SSW_Swarm-C,SSW後,7626,15.121420459834372,3.50551981763731,15.501979222694747,3.0451695117562316,15.958523302976213,440.3688311511553,437.3835415376734,446.92464123615736,0.5037864432935537,0.4182890400485547,0.5764241471261509,3.0,67.7
