DOY,Morning_LT,Morning_Count,Evening_LT,Evening_Count
20,9.91553875087687,993,21.916234481091642,933
21,9.820642811336084,935,21.817090768824798,978
22,9.722594776584433,962,21.72902427863835,951
23,9.63703269675344,966,21.630674844032697,947
24,9.539184533061192,933,21.541593431696747,981
25,9.444376173178524,996,21.44452512189981,933
26,9.350071682089336,933,21.35020367413604,994
27,9.253318698149814,979,21.256164037977218,937
28,9.166026744210221,949,21.158845814723037,963
29,9.069390876548443,948,21.074600243229476,965
30,8.982291027453403,980,20.97814322949657,933
31,8.88647444330568,933,20.88541327849503,996
32,8.793285491148765,995,20.792894505234123,933
33,8.699997579507713,933,20.697546174537777,980
34,8.604198043793168,965,20.610448050506925,949
35,8.522347649853703,964,20.514718784909824,949
36,8.427300222939426,934,20.429262167563714,979
37,8.335267208596452,994,20.334807160280057,933
38,8.24356089616167,933,20.244044662204384,995
39,8.149886096463778,981,20.151523454310453,934
40,8.06510473593144,947,20.057293023448903,966
41,7.970002688169639,951,19.97601995279488,962
42,7.885906559601026,978,19.882375422962404,935
43,7.792644963160964,933,19.792101916784304,993
44,7.702030892718115,995,19.701642807462818,933
45,7.61207165479156,933,19.609433415822892,984
46,7.518259360084267,967,19.52398788884129,946
47,7.438028920373188,961,19.431342487732913,952
48,7.345371433557123,937,19.349036223609133,976
49,7.257915951174038,993,19.256424713955333,933
50,7.167879162691033,933,19.167685006976157,995
51,7.07665851108355,984,19.07790045241562,933
52,6.992640200943368,944,18.98514720230624,971
53,6.90084024417395,954,18.906125731705664,959
54,6.820067015347651,975,18.815209437185757,938
55,6.728077020975359,933,18.728941073670768,990
56,6.640396943441721,995,18.63998681836294,933
57,6.552556820333493,933,18.55027306243876,986
58,6.4601200807535015,971,18.465787037447228,943
59,6.382149885442517,959,18.375188678879095,955
60,6.291308768516817,940,18.296590598480158,973
61,6.207205248822406,988,18.205121507373594,933
62,6.118149664762413,933,18.11793234123489,996
63,6.03023643230566,988,18.0311344774671,933
64,5.946593866019288,942,17.940268558569247,971
65,5.855768283633662,957,17.862310535615286,956
66,5.7786661107155135,971,17.771954152441417,943
67,5.68799125354189,933,17.689002632023843,986
68,5.6011575085227445,996,17.60077491653722,932
69,5.51506764197854,933,17.51376864847405,988
70,5.424967566190396,974,17.429700435154363,939
71,5.347064692222343,954,17.339746327170516,959
72,5.257274785987011,945,17.263403240028964,969
73,5.175688861467732,984,17.173213752928596,933
74,5.087789136048075,933,17.087418360938656,996
75,5.001311834404392,992,17.000864619454823,933
76,4.9165901532340754,937,16.9121663401557,976
77,4.8272489193983805,960,16.83352534530095,952
78,4.751923157694633,967,16.74416776893552,947
79,4.661811062574261,934,16.663493070029347,981
80,,0,,0
