event,phase,n_obs,LT_median,LT_q25,LT_q75,LT_min,LT_max,alt_median,alt_q25,alt_q75,ratio_median,ratio_q25,ratio_q75,Ap_median,F107_median
2018 NH SSW_Swarm-C,SSW前,44111,10.28196588330388,8.980213186863326,20.97976438607602,7.637508867428611,22.3396699148822,443.74910855976583,440.7866271765739,450.27001354010685,0.7006382007255447,0.6175756874151297,0.8017348482842184,4.0,67.7
2018 NH SSW_Swarm-C,SSW中,30707,18.257330574467698,7.218582880998795,19.21983782349459,6.218426029872653,20.227416208158985,443.5194408134995,440.55709897004533,450.2968635210586,0.6791687464864867,0.5942211195866216,0.7837696890600871,7.0,68.7
2018 NH SSW_Swarm-C,SSW後,38354,6.7783675791789095,5.652861914762694,17.65371542430441,4.4981634928560155,18.80951814609168,443.531823546269,440.559623761133,450.0849387092437,0.6972000504199634,0.6010702518848062,0.8159896742358831,6.0,66.8
